

Simulação de cache com acesso direto
 
Tamanho da tag 3 bits
Tamanho da palavra 3 bits
Quantidade de linhas 4 bits

 0 MISS T 000 L 00
 2 HIT T 000 L 00
 4 HIT T 000 L 00
 6 HIT T 000 L 00
 8 MISS T 000 L 01
 a HIT T 000 L 01
 c HIT T 000 L 01
 e HIT T 000 L 01
 10 MISS T 000 L 10
 12 HIT T 000 L 10
 14 HIT T 000 L 10
 16 HIT T 000 L 10
 18 MISS T 000 L 11
 1a HIT T 000 L 11
 1c HIT T 000 L 11
 1d HIT T 000 L 11
 1f HIT T 000 L 11
 21 MISS T 001 L 00
 23 HIT T 001 L 00
 31 MISS T 001 L 10
 33 HIT T 001 L 10
 35 HIT T 001 L 10
 37 HIT T 001 L 10
 39 MISS T 001 L 11
 14 MISS T 000 L 10
 16 HIT T 000 L 10
 18 MISS T 000 L 11
 1a HIT T 000 L 11
 1c HIT T 000 L 11
 1d HIT T 000 L 11
 1f HIT T 000 L 11
 21 HIT T 001 L 00
 25 HIT T 001 L 00
 27 HIT T 001 L 00
 29 MISS T 001 L 01
 2b HIT T 001 L 01
 2d HIT T 001 L 01
 2f HIT T 001 L 01
 31 MISS T 001 L 10
 33 HIT T 001 L 10
 35 HIT T 001 L 10
 37 HIT T 001 L 10
 3b MISS T 001 L 11
 3d HIT T 001 L 11
 3f HIT T 001 L 11
 41 MISS T 010 L 00
 43 HIT T 010 L 00
 6 MISS T 000 L 00
 8 MISS T 000 L 01
 a HIT T 000 L 01
 c HIT T 000 L 01
 e HIT T 000 L 01
 10 MISS T 000 L 10
 12 HIT T 000 L 10
 14 HIT T 000 L 10
 16 HIT T 000 L 10
 18 MISS T 000 L 11
 1a HIT T 000 L 11
 1c HIT T 000 L 11
 1d HIT T 000 L 11
 1f HIT T 000 L 11
 21 MISS T 001 L 00
 25 HIT T 001 L 00
 27 HIT T 001 L 00
 29 MISS T 001 L 01
 2b HIT T 001 L 01
 2d HIT T 001 L 01
 2f HIT T 001 L 01
 31 MISS T 001 L 10
 33 HIT T 001 L 10
 35 HIT T 001 L 10
 37 HIT T 001 L 10
 3b MISS T 001 L 11
 3d HIT T 001 L 11
 3f HIT T 001 L 11
 41 MISS T 010 L 00
 45 HIT T 010 L 00
Conte￺do da cache com acesso direto

Linha 0	01000000	01000001	01000010	01000011	01000100	01000101	01000110	01000111	
Linha 1	00101000	00101001	00101010	00101011	00101100	00101101	00101110	00101111	
Linha 2	00110000	00110001	00110010	00110011	00110100	00110101	00110110	00110111	
Linha 3	00111000	00111001	00111010	00111011	00111100	00111101	00111110	00111111	
Total miss 22.0
Total hit 55.0
Hit ratio 71.42857%


Simulação de cache com acesso direto
 
Tamanho da tag 3 bits
Tamanho da palavra 2 bits
Quantidade de linhas 8 bits

 0 MISS T 000 L 000
 2 HIT T 000 L 000
 4 MISS T 000 L 001
 6 HIT T 000 L 001
 8 MISS T 000 L 010
 a HIT T 000 L 010
 c MISS T 000 L 011
 e HIT T 000 L 011
 10 MISS T 000 L 100
 12 HIT T 000 L 100
 14 MISS T 000 L 101
 16 HIT T 000 L 101
 18 MISS T 000 L 110
 1a HIT T 000 L 110
 1c MISS T 000 L 111
 1d HIT T 000 L 111
 1f HIT T 000 L 111
 21 MISS T 001 L 000
 23 HIT T 001 L 000
 31 MISS T 001 L 100
 33 HIT T 001 L 100
 35 MISS T 001 L 101
 37 HIT T 001 L 101
 39 MISS T 001 L 110
 14 MISS T 000 L 101
 16 HIT T 000 L 101
 18 MISS T 000 L 110
 1a HIT T 000 L 110
 1c HIT T 000 L 111
 1d HIT T 000 L 111
 1f HIT T 000 L 111
 21 HIT T 001 L 000
 25 MISS T 001 L 001
 27 HIT T 001 L 001
 29 MISS T 001 L 010
 2b HIT T 001 L 010
 2d MISS T 001 L 011
 2f HIT T 001 L 011
 31 HIT T 001 L 100
 33 HIT T 001 L 100
 35 MISS T 001 L 101
 37 HIT T 001 L 101
 3b MISS T 001 L 110
 3d MISS T 001 L 111
 3f HIT T 001 L 111
 41 MISS T 010 L 000
 43 HIT T 010 L 000
 6 MISS T 000 L 001
 8 MISS T 000 L 010
 a HIT T 000 L 010
 c MISS T 000 L 011
 e HIT T 000 L 011
 10 MISS T 000 L 100
 12 HIT T 000 L 100
 14 MISS T 000 L 101
 16 HIT T 000 L 101
 18 MISS T 000 L 110
 1a HIT T 000 L 110
 1c MISS T 000 L 111
 1d HIT T 000 L 111
 1f HIT T 000 L 111
 21 MISS T 001 L 000
 25 MISS T 001 L 001
 27 HIT T 001 L 001
 29 MISS T 001 L 010
 2b HIT T 001 L 010
 2d MISS T 001 L 011
 2f HIT T 001 L 011
 31 MISS T 001 L 100
 33 HIT T 001 L 100
 35 MISS T 001 L 101
 37 HIT T 001 L 101
 3b MISS T 001 L 110
 3d MISS T 001 L 111
 3f HIT T 001 L 111
 41 MISS T 010 L 000
 45 MISS T 010 L 001
Conte￺do da cache com acesso direto

Linha 0	01000000	01000001	01000010	01000011	
Linha 1	01000100	01000101	01000110	01000111	
